stop_id,stop_name,latitude,longitude,route_ids,route_colors
15693,PIONEER VILLAGE STATION - NORTHBOUND PLATFORM,43.776741,-79.509334,61456,D5C82B
15694,YORK UNIVERSITY - NORTHBOUND PLATFORM,43.774097,-79.499888,61456,D5C82B
15695,YORK UNIVERSITY - SOUTHBOUND PLATFORM,43.774097,-79.499888,61456,D5C82B
15696,FINCH WEST STATION - NORTHBOUND PLATFORM,43.764855,-79.491118,61456,D5C82B
15697,FINCH WEST STATION - SOUTHBOUND PLATFORM,43.764855,-79.491118,61456,D5C82B
15698,DOWNSVIEW PARK STATION - NORTHBOUND PLATFORM,43.753311,-79.478693,61456,D5C82B
15699,DOWNSVIEW PARK STATION - SOUTHBOUND PLATFORM,43.753311,-79.478693,61456,D5C82B
15700,HIGHWAY 407 STATION - NORTHBOUND PLATFORM,43.783359,-79.523454,61456,D5C82B
15701,HIGHWAY 407 STATION - SOUTHBOUND PLATFORM,43.783359,-79.523454,61456,D5C82B
15702,VAUGHAN METROPOLITAN CENTRE STATION - NORTHBOUND PLATFORM,43.794021,-79.527906,61456,D5C82B
15703,VAUGHAN METROPOLITAN CENTRE STATION - SOUTHBOUND PLATFORM,43.794021,-79.527906,61456,D5C82B
